"Epoch: 0, Elapsed: 3.36 mins, lr: 1.000e-3, Loss: 0.3900, d_acc: 95.88%, e_acc: 95.16%, dEER: 6.87%, eEER: 6.79%, best_dEER: 6.87% from epoch 0."
"Epoch: 1, Elapsed: 3.38 mins, lr: 0.950e-3, Loss: 0.0899, d_acc: 94.09%, e_acc: 94.49%, dEER: 6.83%, eEER: 8.06%, best_dEER: 6.83% from epoch 1."
"Epoch: 2, Elapsed: 1.97 mins, lr: 0.902e-3, Loss: 0.0489, d_acc: 91.40%, e_acc: 0.00%, dEER: 15.12%, eEER: 99.00%, best_dEER: 6.83% from epoch 1."
"Epoch: 3, Elapsed: 1.91 mins, lr: 0.857e-3, Loss: 0.0383, d_acc: 17.37%, e_acc: 0.00%, dEER: 30.77%, eEER: 99.00%, best_dEER: 6.83% from epoch 1."
"Epoch: 4, Elapsed: 3.33 mins, lr: 0.815e-3, Loss: 0.0283, d_acc: 96.46%, e_acc: 88.90%, dEER: 2.47%, eEER: 4.56%, best_dEER: 2.47% from epoch 4."
"Epoch: 5, Elapsed: 1.99 mins, lr: 0.774e-3, Loss: 0.0226, d_acc: 98.24%, e_acc: 0.00%, dEER: 2.99%, eEER: 99.00%, best_dEER: 2.47% from epoch 4."
"Epoch: 6, Elapsed: 1.92 mins, lr: 0.735e-3, Loss: 0.0262, d_acc: 97.30%, e_acc: 0.00%, dEER: 4.07%, eEER: 99.00%, best_dEER: 2.47% from epoch 4."
"Epoch: 7, Elapsed: 3.37 mins, lr: 0.698e-3, Loss: 0.0180, d_acc: 98.68%, e_acc: 90.10%, dEER: 2.12%, eEER: 6.05%, best_dEER: 2.12% from epoch 7."
"Epoch: 8, Elapsed: 1.97 mins, lr: 0.663e-3, Loss: 0.0162, d_acc: 94.89%, e_acc: 0.00%, dEER: 2.51%, eEER: 99.00%, best_dEER: 2.12% from epoch 7."
"Epoch: 9, Elapsed: 3.32 mins, lr: 0.630e-3, Loss: 0.0150, d_acc: 95.26%, e_acc: 86.19%, dEER: 1.57%, eEER: 5.34%, best_dEER: 1.57% from epoch 9."
"Epoch: 10, Elapsed: 1.98 mins, lr: 0.599e-3, Loss: 0.0121, d_acc: 98.50%, e_acc: 0.00%, dEER: 2.75%, eEER: 99.00%, best_dEER: 1.57% from epoch 9."
"Epoch: 11, Elapsed: 1.92 mins, lr: 0.569e-3, Loss: 0.0087, d_acc: 89.32%, e_acc: 0.00%, dEER: 20.46%, eEER: 99.00%, best_dEER: 1.57% from epoch 9."
"Epoch: 12, Elapsed: 1.92 mins, lr: 0.540e-3, Loss: 0.0154, d_acc: 96.62%, e_acc: 0.00%, dEER: 2.39%, eEER: 99.00%, best_dEER: 1.57% from epoch 9."
"Epoch: 13, Elapsed: 3.33 mins, lr: 0.513e-3, Loss: 0.0139, d_acc: 99.01%, e_acc: 94.09%, dEER: 1.36%, eEER: 4.96%, best_dEER: 1.36% from epoch 13."
"Epoch: 14, Elapsed: 1.98 mins, lr: 0.488e-3, Loss: 0.0056, d_acc: 99.08%, e_acc: 0.00%, dEER: 1.44%, eEER: 99.00%, best_dEER: 1.36% from epoch 13."
"Epoch: 15, Elapsed: 1.92 mins, lr: 0.463e-3, Loss: 0.0050, d_acc: 98.82%, e_acc: 0.00%, dEER: 1.71%, eEER: 99.00%, best_dEER: 1.36% from epoch 13."
"Epoch: 16, Elapsed: 1.92 mins, lr: 0.440e-3, Loss: 0.0067, d_acc: 98.78%, e_acc: 0.00%, dEER: 2.41%, eEER: 99.00%, best_dEER: 1.36% from epoch 13."
"Epoch: 17, Elapsed: 1.92 mins, lr: 0.418e-3, Loss: 0.0085, d_acc: 98.20%, e_acc: 0.00%, dEER: 3.87%, eEER: 99.00%, best_dEER: 1.36% from epoch 13."
"Epoch: 18, Elapsed: 1.92 mins, lr: 0.397e-3, Loss: 0.0051, d_acc: 99.13%, e_acc: 0.00%, dEER: 1.46%, eEER: 99.00%, best_dEER: 1.36% from epoch 13."
"Epoch: 19, Elapsed: 3.35 mins, lr: 0.377e-3, Loss: 0.0036, d_acc: 99.12%, e_acc: 93.82%, dEER: 1.33%, eEER: 5.07%, best_dEER: 1.33% from epoch 19."
"Epoch: 20, Elapsed: 1.98 mins, lr: 0.358e-3, Loss: 0.0057, d_acc: 98.86%, e_acc: 0.00%, dEER: 1.51%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 21, Elapsed: 1.92 mins, lr: 0.341e-3, Loss: 0.0033, d_acc: 97.95%, e_acc: 0.00%, dEER: 2.76%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 22, Elapsed: 1.92 mins, lr: 0.324e-3, Loss: 0.0022, d_acc: 96.69%, e_acc: 0.00%, dEER: 4.75%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 23, Elapsed: 1.91 mins, lr: 0.307e-3, Loss: 0.0027, d_acc: 98.60%, e_acc: 0.00%, dEER: 1.86%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 24, Elapsed: 1.92 mins, lr: 0.292e-3, Loss: 0.0017, d_acc: 99.13%, e_acc: 0.00%, dEER: 1.36%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 25, Elapsed: 1.91 mins, lr: 0.277e-3, Loss: 0.0015, d_acc: 98.80%, e_acc: 0.00%, dEER: 2.08%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 26, Elapsed: 1.91 mins, lr: 0.264e-3, Loss: 0.0041, d_acc: 97.21%, e_acc: 0.00%, dEER: 4.22%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 27, Elapsed: 1.92 mins, lr: 0.250e-3, Loss: 0.0083, d_acc: 98.80%, e_acc: 0.00%, dEER: 1.76%, eEER: 99.00%, best_dEER: 1.33% from epoch 19."
"Epoch: 28, Elapsed: 3.33 mins, lr: 0.238e-3, Loss: 0.0043, d_acc: 99.11%, e_acc: 95.16%, dEER: 1.09%, eEER: 4.04%, best_dEER: 1.09% from epoch 28."
"Epoch: 29, Elapsed: 1.98 mins, lr: 0.226e-3, Loss: 0.0021, d_acc: 98.63%, e_acc: 0.00%, dEER: 1.25%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 30, Elapsed: 1.92 mins, lr: 0.215e-3, Loss: 0.0037, d_acc: 99.26%, e_acc: 0.00%, dEER: 1.17%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 31, Elapsed: 1.91 mins, lr: 0.204e-3, Loss: 0.0019, d_acc: 99.05%, e_acc: 0.00%, dEER: 1.41%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 32, Elapsed: 1.92 mins, lr: 0.194e-3, Loss: 0.0018, d_acc: 99.09%, e_acc: 0.00%, dEER: 1.37%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 33, Elapsed: 1.91 mins, lr: 0.184e-3, Loss: 0.0016, d_acc: 98.89%, e_acc: 0.00%, dEER: 1.58%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 34, Elapsed: 1.92 mins, lr: 0.175e-3, Loss: 0.0018, d_acc: 99.05%, e_acc: 0.00%, dEER: 1.17%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 35, Elapsed: 1.92 mins, lr: 0.166e-3, Loss: 0.0017, d_acc: 99.08%, e_acc: 0.00%, dEER: 1.26%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 36, Elapsed: 1.92 mins, lr: 0.158e-3, Loss: 0.0016, d_acc: 99.11%, e_acc: 0.00%, dEER: 1.35%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 37, Elapsed: 1.92 mins, lr: 0.150e-3, Loss: 0.0016, d_acc: 98.89%, e_acc: 0.00%, dEER: 1.38%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 38, Elapsed: 1.92 mins, lr: 0.142e-3, Loss: 0.0016, d_acc: 98.96%, e_acc: 0.00%, dEER: 1.48%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 39, Elapsed: 1.92 mins, lr: 0.135e-3, Loss: 0.0028, d_acc: 98.66%, e_acc: 0.00%, dEER: 1.68%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 40, Elapsed: 1.92 mins, lr: 0.129e-3, Loss: 0.0026, d_acc: 28.03%, e_acc: 0.00%, dEER: 22.32%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 41, Elapsed: 1.93 mins, lr: 0.122e-3, Loss: 0.0021, d_acc: 99.09%, e_acc: 0.00%, dEER: 1.37%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 42, Elapsed: 1.92 mins, lr: 0.116e-3, Loss: 0.0019, d_acc: 98.79%, e_acc: 0.00%, dEER: 1.50%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 43, Elapsed: 1.92 mins, lr: 0.110e-3, Loss: 0.0015, d_acc: 98.81%, e_acc: 0.00%, dEER: 1.58%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 44, Elapsed: 1.94 mins, lr: 0.105e-3, Loss: 0.0015, d_acc: 98.86%, e_acc: 0.00%, dEER: 1.42%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 45, Elapsed: 1.93 mins, lr: 0.099e-3, Loss: 0.0014, d_acc: 98.88%, e_acc: 0.00%, dEER: 1.53%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 46, Elapsed: 1.93 mins, lr: 0.094e-3, Loss: 0.0017, d_acc: 98.81%, e_acc: 0.00%, dEER: 1.81%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 47, Elapsed: 1.91 mins, lr: 0.090e-3, Loss: 0.0017, d_acc: 98.36%, e_acc: 0.00%, dEER: 3.12%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 48, Elapsed: 1.90 mins, lr: 0.085e-3, Loss: 0.0015, d_acc: 98.83%, e_acc: 0.00%, dEER: 1.58%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 49, Elapsed: 1.90 mins, lr: 0.081e-3, Loss: 0.0014, d_acc: 98.86%, e_acc: 0.00%, dEER: 1.55%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 50, Elapsed: 1.91 mins, lr: 0.077e-3, Loss: 0.0014, d_acc: 98.89%, e_acc: 0.00%, dEER: 1.56%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 51, Elapsed: 1.90 mins, lr: 0.073e-3, Loss: 0.0011, d_acc: 69.18%, e_acc: 0.00%, dEER: 14.07%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
"Epoch: 52, Elapsed: 1.91 mins, lr: 0.069e-3, Loss: 0.0013, d_acc: 98.48%, e_acc: 0.00%, dEER: 2.26%, eEER: 99.00%, best_dEER: 1.09% from epoch 28."
