"Epoch: 0, Elapsed: 1.97 mins, lr: 1.000e-3, Loss: 0.4453, d_acc: 77.44%, e_acc: 0.00%, dEER: 20.16%, eEER: 99.00%, best_dEER: 9.00% from epoch 0."
"Epoch: 1, Elapsed: 1.95 mins, lr: 0.950e-3, Loss: 0.3526, d_acc: 84.14%, e_acc: 0.00%, dEER: 18.45%, eEER: 99.00%, best_dEER: 9.00% from epoch 0."
"Epoch: 2, Elapsed: 3.32 mins, lr: 0.902e-3, Loss: 0.2576, d_acc: 84.28%, e_acc: 81.53%, dEER: 8.32%, eEER: 8.54%, best_dEER: 8.32% from epoch 2."
"Epoch: 3, Elapsed: 3.34 mins, lr: 0.857e-3, Loss: 0.1634, d_acc: 95.37%, e_acc: 90.02%, dEER: 6.95%, eEER: 9.42%, best_dEER: 6.95% from epoch 3."
"Epoch: 4, Elapsed: 1.96 mins, lr: 0.815e-3, Loss: 0.1231, d_acc: 84.13%, e_acc: 0.00%, dEER: 15.70%, eEER: 99.00%, best_dEER: 6.95% from epoch 3."
"Epoch: 5, Elapsed: 1.95 mins, lr: 0.774e-3, Loss: 0.1045, d_acc: 10.27%, e_acc: 0.00%, dEER: 43.05%, eEER: 99.00%, best_dEER: 6.95% from epoch 3."
"Epoch: 6, Elapsed: 1.95 mins, lr: 0.735e-3, Loss: 0.0677, d_acc: 94.56%, e_acc: 0.00%, dEER: 8.18%, eEER: 99.00%, best_dEER: 6.95% from epoch 3."
"Epoch: 7, Elapsed: 1.95 mins, lr: 0.698e-3, Loss: 0.0656, d_acc: 78.15%, e_acc: 0.00%, dEER: 7.65%, eEER: 99.00%, best_dEER: 6.95% from epoch 3."
"Epoch: 8, Elapsed: 1.96 mins, lr: 0.663e-3, Loss: 0.0424, d_acc: 84.45%, e_acc: 0.00%, dEER: 10.00%, eEER: 99.00%, best_dEER: 6.95% from epoch 3."
"Epoch: 9, Elapsed: 3.33 mins, lr: 0.630e-3, Loss: 0.0281, d_acc: 87.29%, e_acc: 73.05%, dEER: 4.63%, eEER: 5.88%, best_dEER: 4.63% from epoch 9."
"Epoch: 10, Elapsed: 3.34 mins, lr: 0.599e-3, Loss: 0.0201, d_acc: 98.89%, e_acc: 94.17%, dEER: 1.93%, eEER: 3.97%, best_dEER: 1.93% from epoch 10."
"Epoch: 11, Elapsed: 1.96 mins, lr: 0.569e-3, Loss: 0.0188, d_acc: 90.55%, e_acc: 0.00%, dEER: 5.29%, eEER: 99.00%, best_dEER: 1.93% from epoch 10."
"Epoch: 12, Elapsed: 3.33 mins, lr: 0.540e-3, Loss: 0.0171, d_acc: 96.49%, e_acc: 88.44%, dEER: 1.49%, eEER: 2.38%, best_dEER: 1.49% from epoch 12."
"Epoch: 13, Elapsed: 1.98 mins, lr: 0.513e-3, Loss: 0.0099, d_acc: 98.80%, e_acc: 0.00%, dEER: 2.51%, eEER: 99.00%, best_dEER: 1.49% from epoch 12."
"Epoch: 14, Elapsed: 1.96 mins, lr: 0.488e-3, Loss: 0.0220, d_acc: 29.38%, e_acc: 0.00%, dEER: 22.16%, eEER: 99.00%, best_dEER: 1.49% from epoch 12."
"Epoch: 15, Elapsed: 1.95 mins, lr: 0.463e-3, Loss: 0.0113, d_acc: 98.88%, e_acc: 0.00%, dEER: 1.69%, eEER: 99.00%, best_dEER: 1.49% from epoch 12."
"Epoch: 16, Elapsed: 1.95 mins, lr: 0.440e-3, Loss: 0.0129, d_acc: 89.74%, e_acc: 0.00%, dEER: 37.02%, eEER: 99.00%, best_dEER: 1.49% from epoch 12."
"Epoch: 17, Elapsed: 1.95 mins, lr: 0.418e-3, Loss: 0.0069, d_acc: 99.15%, e_acc: 0.00%, dEER: 1.49%, eEER: 99.00%, best_dEER: 1.49% from epoch 12."
"Epoch: 18, Elapsed: 1.96 mins, lr: 0.397e-3, Loss: 0.0077, d_acc: 89.73%, e_acc: 0.00%, dEER: 31.08%, eEER: 99.00%, best_dEER: 1.49% from epoch 12."
"Epoch: 19, Elapsed: 3.34 mins, lr: 0.377e-3, Loss: 0.0131, d_acc: 99.21%, e_acc: 97.91%, dEER: 1.25%, eEER: 1.98%, best_dEER: 1.25% from epoch 19."
"Epoch: 20, Elapsed: 1.97 mins, lr: 0.358e-3, Loss: 0.0045, d_acc: 98.93%, e_acc: 0.00%, dEER: 2.23%, eEER: 99.00%, best_dEER: 1.25% from epoch 19."
"Epoch: 21, Elapsed: 1.95 mins, lr: 0.341e-3, Loss: 0.0038, d_acc: 98.99%, e_acc: 0.00%, dEER: 1.32%, eEER: 99.00%, best_dEER: 1.25% from epoch 19."
"Epoch: 22, Elapsed: 1.95 mins, lr: 0.324e-3, Loss: 0.0101, d_acc: 95.24%, e_acc: 0.00%, dEER: 2.75%, eEER: 99.00%, best_dEER: 1.25% from epoch 19."
"Epoch: 23, Elapsed: 1.96 mins, lr: 0.307e-3, Loss: 0.0068, d_acc: 87.04%, e_acc: 0.00%, dEER: 28.73%, eEER: 99.00%, best_dEER: 1.25% from epoch 19."
"Epoch: 24, Elapsed: 3.34 mins, lr: 0.292e-3, Loss: 0.0084, d_acc: 99.42%, e_acc: 97.06%, dEER: 1.06%, eEER: 1.98%, best_dEER: 1.06% from epoch 24."
"Epoch: 25, Elapsed: 1.99 mins, lr: 0.277e-3, Loss: 0.0062, d_acc: 89.74%, e_acc: 0.00%, dEER: 41.51%, eEER: 99.00%, best_dEER: 1.06% from epoch 24."
"Epoch: 26, Elapsed: 1.95 mins, lr: 0.264e-3, Loss: 0.0061, d_acc: 89.72%, e_acc: 0.00%, dEER: 11.92%, eEER: 99.00%, best_dEER: 1.06% from epoch 24."
"Epoch: 27, Elapsed: 3.34 mins, lr: 0.250e-3, Loss: 0.0039, d_acc: 98.96%, e_acc: 98.31%, dEER: 0.93%, eEER: 2.27%, best_dEER: 0.93% from epoch 27."
"Epoch: 28, Elapsed: 3.36 mins, lr: 0.238e-3, Loss: 0.0027, d_acc: 99.09%, e_acc: 98.69%, dEER: 0.88%, eEER: 1.67%, best_dEER: 0.88% from epoch 28."
"Epoch: 29, Elapsed: 1.97 mins, lr: 0.226e-3, Loss: 0.0020, d_acc: 99.24%, e_acc: 0.00%, dEER: 1.19%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 30, Elapsed: 1.96 mins, lr: 0.215e-3, Loss: 0.0018, d_acc: 99.26%, e_acc: 0.00%, dEER: 1.17%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 31, Elapsed: 1.95 mins, lr: 0.204e-3, Loss: 0.0018, d_acc: 83.61%, e_acc: 0.00%, dEER: 18.29%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 32, Elapsed: 1.96 mins, lr: 0.194e-3, Loss: 0.0080, d_acc: 96.78%, e_acc: 0.00%, dEER: 5.74%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 33, Elapsed: 1.95 mins, lr: 0.184e-3, Loss: 0.0046, d_acc: 98.70%, e_acc: 0.00%, dEER: 1.18%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 34, Elapsed: 1.95 mins, lr: 0.175e-3, Loss: 0.0031, d_acc: 99.14%, e_acc: 0.00%, dEER: 1.15%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 35, Elapsed: 1.95 mins, lr: 0.166e-3, Loss: 0.0026, d_acc: 99.21%, e_acc: 0.00%, dEER: 1.01%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 36, Elapsed: 1.95 mins, lr: 0.158e-3, Loss: 0.0031, d_acc: 99.02%, e_acc: 0.00%, dEER: 1.68%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 37, Elapsed: 1.95 mins, lr: 0.150e-3, Loss: 0.0019, d_acc: 89.74%, e_acc: 0.00%, dEER: 33.53%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 38, Elapsed: 1.96 mins, lr: 0.142e-3, Loss: 0.0019, d_acc: 99.00%, e_acc: 0.00%, dEER: 1.66%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
"Epoch: 39, Elapsed: 1.98 mins, lr: 0.135e-3, Loss: 0.0022, d_acc: 99.17%, e_acc: 0.00%, dEER: 1.62%, eEER: 99.00%, best_dEER: 0.88% from epoch 28."
